,Livi,Redu,Aphr,Nabi,Ting,Hemi,Acan,Pent,Psyl,Micr,Miri,Cica,Anth,Aphi,Athe,Aula,Carn,Dixi,Lonc,Plat,Simu,Aste,Brac,Mili,Taba,Dryo,Teph,Asil,Ephy,Kero,Micr,Spha,Clus,Coel,Piop,Scat,Lonc,Seps,Call,Chlo,Culi,Anth,Opom,Bibi,Tipu,Pipu,Pall,Scio,Chao,Psil,Scat,Syrp,Dros,Hele,Rhag,Fann,Agro,Myce,Stra,Musc,Phor,Doli,Laux,Anis,Limo,Psyc,Empi,Scia,Ceci,Cera,Chir,type,canopy.cover,soil.pH,ground.cover,under.hght,under.divers
BREEN,0,0,0,0,2,0,0,6,4,0,42,220,310,20,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,4,4,1,0,1,3,7,1,4,0,1,4,1,5,10,3,5,31,17,3,2,480,25,18,548,370,Oak,76,6.8,29,1.2,1.16
BROWN,0,0,0,0,0,0,6,3,1,0,224,31,80,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0,0,0,0,3.4,1.1,0,0,4.6,10.3,1.1,0,0,3.4,0,6.9,3.4,3.4,17.1,8,2.3,19.4,17.1,9.1,34.3,64,2.3,5.7,6.9,624,125.7,49.1,134.9,112,Oak,71,6.5,55,1.6,1.09
DRUMM,0,0,0,0,0,0,0,17,32,0,154,224,61,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,3,0,4,1,0,0,0,0,2,8,0,0,16,8,2,3,9,2,2,47,98,10,15,5,251,69,43,466,217,Oak,69,7,53,0.8,1.07
KCREA,0,0,0,0,0,0,0,4,1,0,36,16,48,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,1,0,1,21,1,0,5,2,0,10,10,43,4,16,9,156,164,223,27,177,Oak,64,7.1,79,0.7,0.85
PROHU,0,0,0,0,2,0,0,0,15,2,170,945,153,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,0,0,0,0,2,0,0,0,0,6,1,0,1,19,4,32,6,24,8,4,25,86,5,26,50,360,41,196,415,681,Oak,61,6.5,80,1.5,1.44
URAGH,0,0,1,0,7,2,0,3,0,0,34,44,68,4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,6,0,2,0,0,0,1,8,1,47,2,1,1,0,6,15,21,4,0,4,54,37,23,43,2,26,7,108,30,303,1191,1127,Oak,59,7.6,45,1.7,1.43
CASTP,0,0,0,0,0,0,1,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2,1,0,0,11,7,0,2,2,0,0,1,15,1,3,13,2,119,801,NS,78,7.1,67,0.9,1.43
CRABP,0,0,0,1,0,0,1,0,0,0,0,0,1,147,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,16,1,0,0,0,0,0,0,10,8,4,0,1,7,26,0,2,33,0,0,230,578,384,14,407,193,620,2035,NS,75,7.4,45,1.4,0.85
GARRP,1,0,0,0,0,0,0,1,29,877,47,0,11,306,0,0,1,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,2,0,3,0,0,1,0,0,0,2,0,1,1,0,0,0,0,11,3,2,18,0,0,2,3,0,30,13,7,0,3,21,18,24,285,28,245,365,NS,83,7.1,90,1.7,0.83
MOTEP,0,0,0,0,0,1,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,1,4,0,0,7,60,16,50,30,13,157,96,NS,72,7.5,83,2.6,0.81
THOMP,0,0,0,7,0,0,4,1,0,85,53,0,312,1626,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,1,0,10,0,1,22,0,0,15,5,14,23,0,1,8,9,5,14,12,5,6,131,147,55,46,78,483,340,201,NS,75,6.5,75,2.8,0.8
WOODP,0,0,0,0,0,0,0,0,0,16,0,0,10,519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,4,10,8,18,1,2,0,0,3,6,1,3,0,5,15,11,36,174,104,550,NS,70,6.8,68,1.3,0.79
